"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_physical_city","ros_physical_state","application_number","form_471_line_item_number","upload_speed_mbps","download_speed_mbps","form_471_function_name","form_471_product_name"
"215",136068,"IL0010",2,"ransom memorial public library","Altona","IL",221018597,2299023973.001,4,50,"Copper","Digital Subscriber Line (DSL)"
"216",137761,"KS0274",3,"gridley public library","Gridley","KS",221038486,2299057532.001,500,500,"Copper","Ethernet"
"217",137766,"KS0274",4,"lebo public library","Lebo","KS",221038486,2299057532.001,500,500,"Copper","Ethernet"
"218",137768,"KS0274",5,"leroy public library","Le Roy","KS",221038486,2299057532.001,500,500,"Copper","Ethernet"
"219",193375,"KS0274",6,"new strawn public library","New Strawn","KS",221038486,2299057532.001,500,500,"Copper","Ethernet"
"220",137778,"KS0274",7,"waverly public library","Waverly","KS",221038486,2299057532.001,500,500,"Copper","Ethernet"
"221",137751,"KS0274",8,"burlington public library","Burlington","KS",221038486,2299057532.001,500,500,"Copper","Ethernet"
"222",128570,"MS0025",2,"lee county library","Tupelo","MS",221004993,2299005094.001,50,150,"Wireless","Wireless data service"
"223",17019522,"NV0007",11,"carlin branch library","Carlin","NV",221001410,2299021673.001,200,200,"Wireless","Wireless data service"
"224",100300,"NV0007",8,"wells branch library","Wells","NV",221001410,2299021673.001,200,200,"Wireless","Wireless data service"
"225",100303,"NV0007",9,"west wendover branch library","West Wendover","NV",221001410,2299021673.001,200,200,"Wireless","Wireless data service"
"226",208885,"FL0030",3,"chattahoochee  public  library","Chattahoochee","FL",221034757,2299051356.001,1.5,25,"Copper","Digital Subscriber Line (DSL)"
"227",229021,"MI0033",3,"betsie valley district library","Thompsonville","MI",221031267,2299045299.001,10.7,0.8,"Copper","Digital Subscriber Line (DSL)"
"228",141132,"TX0388",2,"west public library","West","TX",221023128,2299031377.001,1,6,"Copper","Digital Subscriber Line (DSL)"
"229",17005285,"TX0522",2,"rhome community library","Rhome","TX",221001675,2299001161.001,5,60,"Copper","Digital Subscriber Line (DSL)"
"230",211242,"VA0006",6,"deerfield library station","Deerfield","VA",221000202,2299004038.001,5,5,"Copper","Digital Subscriber Line (DSL)"
"231",16055862,"FL0035",2,"library2go bookmobile of tampa-hillsborough county public library","Tampa","FL",221022235,2299029962.001,3,10,"Wireless","Wireless data service"
"232",16082123,"SC0033",2,"orangeburg county library-bookmobile","Orangeburg","SC",221023381,2299031842.001,10,10,"Wireless","Wireless data service"
