"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","speed_benchmark","pop_category","count_ents"
"63",16060916,"IN0128",2,"kokomo-howard co pub library annex","library","No","public library","Active","305 E Mulberry Street","Kokomo","IN",46901,NA,NA,40.4882153,-86.1285625,"Congressional District 4","Urban",NA,NA,NA,NA,130457,"Kokomo-Howard Co Pub Library","library system","Attn:  Aaron Rood","Kokomo","IN",46901,"Congressional District 4",2022,221029182,2299041779,2299041779.002,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1065,0,1065,1,1065,12,12780,0,0,0,0,0,12780,0.9,11502,1278,7530,NA,NA,NA,NA,NA,12780,1,11502,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",76265,NA,13,"City Small","City","bandwidth target met","over50",2
"64",17010684,"IN0128",2,"main branch","library","No","main branch, public library","Active","220 N Union St","Kokomo","IN",46901,4614,NA,40.488071,-86.1296178,"Congressional District 4","Urban",NA,NA,NA,NA,130457,"Kokomo-Howard Co Pub Library","library system","Attn:  Aaron Rood","Kokomo","IN",46901,"Congressional District 4",2022,221029182,2299041764,2299041764.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",3475,0,3475,1,3475,12,41700,0,0,0,0,0,41700,0.9,37530,4170,45000,1,NA,NA,NA,NA,6950,6,6255,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",76265,NA,13,"City Small","City","bandwidth target met","over50",2
"65",16079678,"IN0189",2,"vigo county traveling tech station","library","No","bookmobile, public library","Active","1 Library Square","Terre Haute","IN",47807,NA,"Vigo",39.463852,-87.4077423,"Congressional District 8","Urban",NA,NA,NA,NA,130720,"Vigo County Public Library","library system","One Library Square","Terre Haute","IN",47807,"Congressional District 8",2022,221020750,2299027375,2299027375.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",4390,0,4390,1,4390,12,52680,0,0,0,0,0,52680,0.8,42144,10536,0,0.25,NA,NA,NA,NA,NA,4,10536,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",107848,NA,13,"City Small","City","bandwidth target met","over50",2
"66",17003693,"IN0189",2,"vigo county public library","library","No","main branch, public library","Active","1 Library Sq","Terre Haute","IN",47807,3609,"Vigo",39.463852,-87.4077423,"Congressional District 8","Urban",NA,NA,NA,NA,130720,"Vigo County Public Library","library system","One Library Square","Terre Haute","IN",47807,"Congressional District 8",2022,221020750,2299027375,2299027375.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",4390,0,4390,1,4390,12,52680,0,0,0,0,0,52680,0.8,42144,10536,69600,0.25,NA,NA,NA,NA,NA,4,10536,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",107848,NA,13,"City Small","City","bandwidth target met","over50",2
"67",17003693,"IN0189",2,"vigo county public library","library","No","main branch, public library","Active","1 Library Sq","Terre Haute","IN",47807,3609,"Vigo",39.463852,-87.4077423,"Congressional District 8","Urban",NA,NA,NA,NA,130720,"Vigo County Public Library","library system","One Library Square","Terre Haute","IN",47807,"Congressional District 8",2022,221020750,2299027422,2299027422.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",3860,0,3860,1,3860,12,46320,0,0,0,0,0,46320,0.8,37056,9264,69600,NA,NA,NA,NA,NA,23160,2,18528,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",107848,NA,13,"City Small","City","bandwidth target met","over50",2
"68",17003693,"IN0189",2,"vigo county public library","library","No","main branch, public library","Active","1 Library Sq","Terre Haute","IN",47807,3609,"Vigo",39.463852,-87.4077423,"Congressional District 8","Urban",NA,NA,NA,NA,130720,"Vigo County Public Library","library system","One Library Square","Terre Haute","IN",47807,"Congressional District 8",2022,221027822,2299039372,2299039372.001,"In-Window","Committed","Funded","FCDL Issued","Frontier Midstates, Inc.",143004780,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",200,"Mbps",200,"Mbps",1340,0,1340,1,1340,12,16080,250,0,250,1,250,16330,0.8,13064,3266,69600,NA,NA,NA,NA,NA,8165,2,6532,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",200,200,"served_not_gigabit","not_gigabit",107848,NA,13,"City Small","City","bandwidth target not met","over50",2
"69",17005402,"IN0195",2,"carmel-clay pl - main","library","No","main branch, public library","Active","55 4th Avenue","Carmel","IN",46032,NA,"Hamilton",39.977727,-86.12181,"Congressional District 5","Urban",NA,NA,NA,NA,130186,"Carmel Clay Public Library","library system","55 4th. Avenue Se","Carmel","IN",46032,"Congressional District 5",2022,221035391,2299052111,2299052111.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",2525,0,2525,1,2525,12,30300,0,0,0,0,0,30300,0.4,12120,18180,116385,1,NA,NA,NA,NA,30300,1,12120,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",2000,2000,"gigabit","gigabit",83293,NA,12,"City Midsize","City","bandwidth target met","over50",2
"70",17005402,"IN0195",2,"carmel-clay pl - main","library","No","main branch, public library","Active","55 4th Avenue","Carmel","IN",46032,NA,"Hamilton",39.977727,-86.12181,"Congressional District 5","Urban",NA,NA,NA,NA,130186,"Carmel Clay Public Library","library system","55 4th. Avenue Se","Carmel","IN",46032,"Congressional District 5",2022,221035391,2299052118,2299052118.001,"In-Window","Committed","Funded","FCDL Issued","Metro Fibernet LLC",143049173,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",2,"Gbps",2,"Gbps",1550,0,1550,1,1550,12,18600,0,0,0,0,0,18600,0.4,7440,11160,116385,1,NA,NA,NA,NA,18600,1,7440,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",2000,2000,"gigabit","gigabit",83293,NA,12,"City Midsize","City","bandwidth target met","over50",2
"71",17005402,"IN0195",2,"carmel-clay pl - main","library","No","main branch, public library","Active","55 4th Avenue","Carmel","IN",46032,NA,"Hamilton",39.977727,-86.12181,"Congressional District 5","Urban",NA,NA,NA,NA,130186,"Carmel Clay Public Library","library system","55 4th. Avenue Se","Carmel","IN",46032,"Congressional District 5",2022,221035412,2299052168,2299052168.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1450,0,1450,1,1450,12,17400,0,0,0,0,0,17400,0.4,6960,10440,116385,NA,NA,NA,NA,NA,NA,1,6960,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",83293,NA,12,"City Midsize","City","bandwidth target met","over50",2
"72",17019479,"IN0195",2,"carmel clay public library west branch","library","No","new construction library, public library","Active","12770 Horseferry Road","Carmel","IN",46032,NA,NA,39.9729875,-86.1955637,"Congressional District 5","Urban",NA,NA,NA,NA,130186,"Carmel Clay Public Library","library system","55 4th. Avenue Se","Carmel","IN",46032,"Congressional District 5",2022,221035412,2299052720,2299052720.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1450,0,1450,1,1450,12,17400,0,0,0,0,0,17400,0.4,6960,10440,4800,NA,NA,NA,NA,NA,17400,1,6960,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",83293,NA,12,"City Midsize","City","bandwidth target met","over50",2
"73",17001665,"IN0210",34,"indiana state library main","library","No","main branch, public library","Active","140 N Senate Ave","Indianapolis","IN",46204,2207,"Marion",39.7696698,-86.163985,"Congressional District 7","Urban",NA,NA,NA,NA,130275,"Indiana State Library","library system","140 N Senate Ave","Indianapolis","IN",46204,"Congressional District 7",2022,221012528,2299015024,2299015024.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Mbps",20,"Mbps",1135,0,1135,1,1135,12,13620,0,0,0,0,0,13620,0.9,12258,1362,207053,1,NA,NA,NA,NA,6810,2,6129,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",20,20,"unserved","not_gigabit",877389,NA,11,"City Large","City","bandwidth target not met","over50",3
"74",211082,"IN0210",34,"central library","library","No","main branch, public library","Active","40 E. St. Clair Street","Indianapolis","IN",46204,NA,"Marion",39.778579,-86.156733,"Congressional District 7","Urban",NA,NA,NA,NA,224210,"Indianapolis Marion County Public  Library","library system","2450 N. Meridian St.","Indianapolis","IN",46208,"Congressional District 7",2022,221023465,2299031873,2299031873.001,"In-Window","Committed","Funded","FCDL Issued","AT&T Corp.",143001192,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1903.8,0,1903.8,1,1903.8,12,22845.6,0,0,0,0,0,22845.6,0.9,20561.04,2284.56,476000,1,NA,NA,NA,NA,22845.6,1,20561.04,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",877389,NA,11,"City Large","City","bandwidth target met","over50",3
"75",211082,"IN0210",34,"central library","library","No","main branch, public library","Active","40 E. St. Clair Street","Indianapolis","IN",46204,NA,"Marion",39.778579,-86.156733,"Congressional District 7","Urban",NA,NA,NA,NA,224210,"Indianapolis Marion County Public  Library","library system","2450 N. Meridian St.","Indianapolis","IN",46208,"Congressional District 7",2022,221023465,2299050369,2299050369.002,"In-Window","Committed","Funded","FCDL Issued","Indiana Bell Telephone Company, Incorporated",143004642,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",1700,0,1700,2,3400,12,40800,0,0,0,0,0,40800,0.9,36720,4080,476000,NA,NA,NA,NA,NA,20400,2,18360,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",10000,10000,"gigabit","gigabit",877389,NA,11,"City Large","City","bandwidth target met","over50",3
"76",211355,"IN0210",34,"library service center","library","No","public library","Active","2450 North Meridian Street","Indianapolis","IN",46208,NA,NA,39.801724,-86.157675,"Congressional District 7","Urban",NA,NA,NA,NA,224210,"Indianapolis Marion County Public  Library","library system","2450 N. Meridian St.","Indianapolis","IN",46208,"Congressional District 7",2022,221023465,2299031869,2299031869.001,"In-Window","Committed","Funded","FCDL Issued","CenturyLink Level 3 Communications, LLC",143021460,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1275.12,0,1275.12,1,1275.12,12,15301.44,0,0,0,0,0,15301.44,0.9,13771.296,1530.14,80000,1,NA,NA,NA,NA,637.56,24,573.804,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",877389,NA,11,"City Large","City","bandwidth target met","over50",3
"77",211355,"IN0210",34,"library service center","library","No","public library","Active","2450 North Meridian Street","Indianapolis","IN",46208,NA,NA,39.801724,-86.157675,"Congressional District 7","Urban",NA,NA,NA,NA,224210,"Indianapolis Marion County Public  Library","library system","2450 N. Meridian St.","Indianapolis","IN",46208,"Congressional District 7",2022,221023465,2299050369,2299050369.001,"In-Window","Committed","Funded","FCDL Issued","Indiana Bell Telephone Company, Incorporated",143004642,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",562.42,0,562.42,25,14060.5,12,168726,0,0,0,0,0,168726,0.9,151853.4,16872.6,80000,NA,NA,NA,NA,NA,7030.25,24,6327.225,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",877389,NA,11,"City Large","City","bandwidth target met","over50",3
"78",211355,"IN0210",34,"library service center","library","No","public library","Active","2450 North Meridian Street","Indianapolis","IN",46208,NA,NA,39.801724,-86.157675,"Congressional District 7","Urban",NA,NA,NA,NA,224210,"Indianapolis Marion County Public  Library","library system","2450 N. Meridian St.","Indianapolis","IN",46208,"Congressional District 7",2022,221023465,2299050369,2299050369.002,"In-Window","Committed","Funded","FCDL Issued","Indiana Bell Telephone Company, Incorporated",143004642,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",10,"Gbps",10,"Gbps",1700,0,1700,2,3400,12,40800,0,0,0,0,0,40800,0.9,36720,4080,80000,NA,NA,NA,NA,NA,20400,2,18360,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",10000,10000,"gigabit","gigabit",877389,NA,11,"City Large","City","bandwidth target met","over50",3
"79",17001549,"IN0217",2,"charlestown-clark county public library main","library","No","main branch, public library","Active","51 Clark Road","Charlestown","IN",47111,NA,NA,38.448095,-85.668132,"Congressional District 9","Rural",NA,NA,NA,NA,130534,"Charlestown Clark Co Pub Lib","library system","51 Clark Rd","Charlestown","IN",47111,"Congressional District 9",2022,221022728,2299030723,2299030723.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",3700,0,3700,1,3700,12,44400,0,0,0,0,0,44400,0.8,35520,8880,7200,1,NA,NA,NA,NA,7400,6,5920,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",51170,NA,31,"Town Fringe","Town","bandwidth target met","over50",2
"80",17001549,"IN0217",2,"charlestown-clark county public library main","library","No","main branch, public library","Active","51 Clark Road","Charlestown","IN",47111,NA,NA,38.448095,-85.668132,"Congressional District 9","Rural",NA,NA,NA,NA,130534,"Charlestown Clark Co Pub Lib","library system","51 Clark Rd","Charlestown","IN",47111,"Congressional District 9",2022,221022728,2299030734,2299030734.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",1110,0,1110,1,1110,12,13320,0,0,0,0,0,13320,0.8,10656,2664,7200,NA,NA,NA,NA,NA,13320,1,10656,NA,2020,"Data Connection between two or more sites entirely within the applicant’s network","Current","No","Yes",1000,1000,"gigabit","gigabit",51170,NA,31,"Town Fringe","Town","bandwidth target met","over50",2
"81",17016841,"IN0217",2,"charlestown clark county bookmobile","library","No","bookmobile, public library","Active","51 Clark Rd","Charlestown","IN",47111,NA,NA,38.448095,-85.668132,"Congressional District 9","Rural",NA,NA,NA,NA,130534,"Charlestown Clark Co Pub Lib","library system","51 Clark Rd","Charlestown","IN",47111,"Congressional District 9",2022,221022728,2299030723,2299030723.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",3700,0,3700,1,3700,12,44400,0,0,0,0,0,44400,0.8,35520,8880,0,1,NA,NA,NA,NA,7400,6,5920,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",51170,NA,31,"Town Fringe","Town","bandwidth target met","over50",2
"82",16081203,"IN0244",7,"greensburg decatur county public library bookmobile","library","No","bookmobile, public library","Active","1110 E Main St","Greensburg","IN",47240,NA,NA,39.3372585,-85.4677901,"Congressional District 6","Rural",NA,NA,NA,NA,130565,"Greensburg-Decatur Co Pub Lib","library system","1110 E Main St","Greensburg","IN",47240,"Congressional District 6",2022,221011472,2299013567,2299013567.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",4815,0,4815,1,4815,12,57780,0,0,0,0,0,57780,0.8,46224,11556,0,1,NA,NA,NA,NA,19260,3,15408,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",25740,NA,32,"Town Distant","Town","bandwidth target met","under50",2
"83",17001547,"IN0244",7,"greensburg decatur county public library","library","No","main branch, public library","Active","1101 E. Main Street","Greensburg","IN",47240,NA,NA,39.3364166,-85.4681116,"Congressional District 6","Rural",NA,NA,NA,NA,130565,"Greensburg-Decatur Co Pub Lib","library system","1110 E Main St","Greensburg","IN",47240,"Congressional District 6",2022,221011472,2299013567,2299013567.001,"In-Window","Committed","Funded","FCDL Issued","ENA Services, LLC",143030857,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",4815,0,4815,1,4815,12,57780,0,0,0,0,0,57780,0.8,46224,11556,21000,1,NA,NA,NA,NA,19260,3,15408,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",25740,NA,32,"Town Distant","Town","bandwidth target met","under50",2
"84",137580,"KS0130",2,"olathe public library","library","No","main branch, public library","Active","16100 W 135th","Olathe","KS",66062,3456,"Johnson",38.88523,-94.771076,"Congressional District 3","Urban",NA,NA,NA,NA,17028456,"Olathe Public Library System","library system","16100 W 135th","Olathe","KS",66062,"Congressional District 3",2022,221038334,2299057146,2299057146.001,"In-Window","Committed","Funded","FCDL Issued","Unite Private Networks, LLC",143029868,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",845,0,845,1,845,12,10140,0,0,0,0,0,10140,0.5,5070,5070,34000,1,NA,NA,NA,NA,5070,2,2535,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",140545,NA,21,"Suburban Large","Suburban","bandwidth target met","over50",2
"85",17028136,"KS0130",2,"olathe public library downtown","library","No","new construction library, public library","Active","1078a W. Santa Fe","Olathe","KS",66061,NA,"Johnson",38.885067,-94.832849,"Congressional District 3","Urban",NA,NA,NA,NA,17028456,"Olathe Public Library System","library system","16100 W 135th","Olathe","KS",66062,"Congressional District 3",2022,221038334,2299057146,2299057146.001,"In-Window","Committed","Funded","FCDL Issued","Unite Private Networks, LLC",143029868,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",845,0,845,1,845,12,10140,0,0,0,0,0,10140,0.5,5070,5070,37000,1,NA,NA,NA,NA,5070,2,2535,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",140545,NA,21,"Suburban Large","Suburban","bandwidth target met","over50",2
"86",16061745,"KY0056",2,"administration - kenton county public library","non-instructional facility (nif)",NA,NA,"Active","3095 Hulbert Ave.","Erlanger","KY",41018,NA,"Kenton",39.0442781,-84.569118,"Congressional District 4",NA,NA,NA,NA,NA,128857,"Kenton County Public Library","library system","3095 Hulbert Ave.","Erlanger","KY",41018,"Congressional District 4",2022,221014669,2299018046,2299018046.003,"In-Window","Committed","Funded","FCDL Issued","Cincinnati Bell Telephone LLC (KY)",143001581,"Category1","Data Transmission and/or Internet Access","Fiber","Digital Subscriber Line (DSL)",200,"Mbps",750,"Mbps",189.98,0,189.98,1,189.98,12,2279.76,0,0,0,0,0,2279.76,0.9,2051.784,227.98,NA,1,NA,NA,NA,NA,NA,1,2051.784,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",750,750,"served_not_gigabit","not_gigabit",166998,NA,21,"Suburban Large","Suburban","bandwidth target not met","over50",2
"87",16061745,"KY0056",2,"administration - kenton county public library","non-instructional facility (nif)",NA,NA,"Active","3095 Hulbert Ave.","Erlanger","KY",41018,NA,"Kenton",39.0442781,-84.569118,"Congressional District 4",NA,NA,NA,NA,NA,128857,"Kenton County Public Library","library system","3095 Hulbert Ave.","Erlanger","KY",41018,"Congressional District 4",2022,221014669,2299018046,2299018046.005,"In-Window","Committed","Funded","FCDL Issued","Cincinnati Bell Telephone LLC (KY)",143001581,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",750,0,750,1,750,12,9000,0,0,0,0,0,9000,0.9,8100,900,NA,1,NA,NA,NA,NA,NA,1,8100,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",166998,NA,21,"Suburban Large","Suburban","bandwidth target met","over50",2
"88",16061745,"KY0056",2,"administration - kenton county public library","non-instructional facility (nif)",NA,NA,"Active","3095 Hulbert Ave.","Erlanger","KY",41018,NA,"Kenton",39.0442781,-84.569118,"Congressional District 4",NA,NA,NA,NA,NA,128857,"Kenton County Public Library","library system","3095 Hulbert Ave.","Erlanger","KY",41018,"Congressional District 4",2022,221014669,2299018046,2299018046.006,"In-Window","Committed","Funded","FCDL Issued","Cincinnati Bell Telephone LLC (KY)",143001581,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",350,0,350,1,350,12,4200,0,0,0,0,0,4200,0.9,3780,420,NA,1,NA,NA,NA,NA,NA,1,3780,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",1000,1000,"gigabit","gigabit",166998,NA,21,"Suburban Large","Suburban","bandwidth target met","over50",2
"89",16061745,"KY0056",2,"administration - kenton county public library","non-instructional facility (nif)",NA,NA,"Active","3095 Hulbert Ave.","Erlanger","KY",41018,NA,"Kenton",39.0442781,-84.569118,"Congressional District 4",NA,NA,NA,NA,NA,128857,"Kenton County Public Library","library system","3095 Hulbert Ave.","Erlanger","KY",41018,"Congressional District 4",2022,221014669,2299018046,2299018046.009,"In-Window","Committed","Funded","FCDL Issued","Cincinnati Bell Telephone LLC (KY)",143001581,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",350,0,350,1,350,12,4200,0,0,0,0,0,4200,0.9,3780,420,NA,NA,NA,NA,NA,NA,NA,1,3780,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","No","Yes",1000,1000,"gigabit","gigabit",166998,NA,21,"Suburban Large","Suburban","bandwidth target met","over50",2
"90",230078,"KY0056",2,"covington library - kenton county public library","library","No","main branch, public library","Active","502 Scott Street","Covington","KY",41011,NA,NA,39.0855915,-84.5085182,"Congressional District 4","Urban",NA,NA,NA,NA,128857,"Kenton County Public Library","library system","3095 Hulbert Ave.","Erlanger","KY",41018,"Congressional District 4",2022,221014669,2299018046,2299018046.004,"In-Window","Committed","Funded","FCDL Issued","Cincinnati Bell Telephone LLC (KY)",143001581,"Category1","Data Transmission and/or Internet Access","Fiber","Digital Subscriber Line (DSL)",200,"Mbps",750,"Mbps",199.98,0,199.98,1,199.98,12,2399.76,0,0,0,0,0,2399.76,0.9,2159.784,239.98,61900,1,NA,NA,NA,NA,NA,1,2159.784,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",750,750,"served_not_gigabit","not_gigabit",166998,NA,21,"Suburban Large","Suburban","bandwidth target not met","over50",2
"91",230078,"KY0056",2,"covington library - kenton county public library","library","No","main branch, public library","Active","502 Scott Street","Covington","KY",41011,NA,NA,39.0855915,-84.5085182,"Congressional District 4","Urban",NA,NA,NA,NA,128857,"Kenton County Public Library","library system","3095 Hulbert Ave.","Erlanger","KY",41018,"Congressional District 4",2022,221014669,2299018046,2299018046.008,"In-Window","Committed","Funded","FCDL Issued","Cincinnati Bell Telephone LLC (KY)",143001581,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",1,"Gbps",1,"Gbps",350,0,350,1,350,12,4200,0,0,0,0,0,4200,0.9,3780,420,61900,NA,NA,NA,NA,NA,NA,1,3780,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","No","Yes",1000,1000,"gigabit","gigabit",166998,NA,21,"Suburban Large","Suburban","bandwidth target met","over50",2
"92",128742,"KY0107",2,"trimble county public library","library","No","main branch, public library","Active","35 Equity Dr","Bedford","KY",40006,7839,"Trimble",38.209268,-85.225689,"Congressional District 4","Rural",NA,NA,NA,NA,17023062,"Trimble County Public Library","library system","35 Equity Drive","Bedford","KY",40006,"Congressional District 4",2022,221039412,2299058966,2299058966.001,"In-Window","Committed","Funded","FCDL Issued","Charter Communications Operating, LLC",143050436,"Category1","Data Transmission and/or Internet Access","Fiber","OC-N (TDM Fiber)",500,"Mbps",500,"Mbps",1050,0,1050,1,1050,12,12600,0,0,0,0,0,12600,0.8,10080,2520,10500,1,NA,NA,NA,NA,NA,1,10080,NA,2020,"Internet access service that includes a connection from any applicant site directly to the Internet Service Provider","Current","Yes","No",500,500,"served_not_gigabit","not_gigabit",8471,NA,42,"Rural Distant","Rural","bandwidth target met","under50",2
